name,when,project_col,type,owner_col,country_col,company_1,market_cap,company_2,partial_power,total_value,total_power,power_used,link_annou,comment_annou,
7011.T,2016-03-14,Kings Mountain Energy Center,GasTurbine,,United States,Mitsubishi Hitachi Power Systems Ltd.,,,475,,,475,https://amer.mhps.com/nte-energy-awards-mhpsa-second-order-for-an-m501gac-gas-turbine.html,only gas turbine ,
7011.T,2016-01-19,Lamma Power Station Extension -- Unit 10,GasTurbine,,Hong Kong,Mitsubishi Hitachi Power Systems Ltd.,,,350,,,350,https://www.mhps.com/news/20160119.html,Power island,
7011.T,2016-01-07,Jawa-2 Combined Cycle Power Plant Project,GasTurbine,,Indonesia,Mitsubishi Hitachi Power Systems Ltd.,,,880,,,880,https://www.mhps.com/news/20160107_02.html,turnkey,
7011.T,2015-12-09,San Buenaventura Power Plant,Coal,,Philippines,Mitsubishi Hitachi Power Systems Ltd.,,,500,,,500,https://www.mhps.com/news/20151209.html,boiler ST Geno,
7011.T,2015-11-24,coal-fired power generation plant in Cirebon Indonesia.,Coal,,Indonesia,Mitsubishi Hitachi Power Systems Ltd.,,Toshiba / Hyundai,1000,,,1000,https://www.mhps.com/news/20151124.html,boiler FGD,
7011.T,2015-11-19,Shinseocheon Thermal Power Plant,Coal,,South Korea,Mitsubishi Hitachi Power Systems Ltd.,,,1000,,,1000,https://www.mhps.com/news/20151119.html,Boiler,
7011.T,2015-09-29,Huaneng Beijing thermal power plant phase 3 u,GasTurbine,,China,Mitsubishi Hitachi Power Systems Ltd.,,,1100,,,1100,https://www.mhps.com/news/20150929.html,only gas turbine,
7011.T,2015-05-22,New Pyeongtaek GTCC Power Plant,GasTurbine,,South Korea,Mitsubishi Hitachi Power Systems Ltd.,,,950,,,950,https://www.mhps.com/news/20150522.html,only gas turbine steam turbine,
7011.T,2015-03-09,Unit 1 and 2 of Shree Singaji Thermal Power Plant,Coal,,India,Mitsubishi Hitachi Power Systems Ltd.,,,1320,,,1320,https://www.mhps.com/news/20150309.html,Boilers and steam turbines,
7011.T,2015-03-04,Tanda,Coal,,India,Mitsubishi Hitachi Power Systems Ltd.,,,1320,,,1320,https://www.mhps.com/news/20150304.html,Only boilers,
7011.T,2014-12-08,Chuncheon Cogeneration Power Plant,GasTurbine,,South Korea,Mitsubishi Hitachi Power Systems Ltd.,,,470,,,470,https://www.mhps.com/news/20141208.html,Power island,
7011.T,2014-10-30,Limay,Coal,,Taiwan,Mitsubishi Hitachi Power Systems Ltd.,,,300,,,300,https://www.mhps.com/news/20141030.html,ST and genos,
7011.T,2014-10-02,Safi Morocco.,Coal,,Morocco,Mitsubishi Hitachi Power Systems Ltd.,,,,,1386,1386,https://www.mhps.com/news/20141002.html,only steam turbines,
7011.T,2014-07-17,Turów Poland,Coal,,Poland,Mitsubishi Hitachi Power Systems Ltd.,,,,1100,450,450,https://www.mhps.com/news/20140717.html,Core equipment,
7011.T,2014-07-14,Bheramara gas turbine combined cycle (,GasTurbine,,Bangladesh,Mitsubishi Hitachi Power Systems Ltd.,,,,,410,410,https://www.mhps.com/news/20140714.html,GT ST,
7011.T,2014-06-10,Toyama Shinko Thermal Power Station,GasTurbine,,Japan,Mitsubishi Hitachi Power Systems Ltd.,,,,,427,427,https://www.mhps.com/news/20140610.html,All?,
7011.T,2014-06-09,Pocheon Combined Cycle Power Plant,GasTurbine,,South Korea,Mitsubishi Hitachi Power Systems Ltd.,,,,,,500,https://www.mhps.com/news/20140609.html,Power guessed only GT; ST,
7011.T,2014-06-02,Pagbilao coal-fired power generation station in Quezon,GasTurbine,,Philippines,Mitsubishi Hitachi Power Systems Ltd.,,,,,420,420,https://www.mhps.com/news/20140602.html,Turnkey,
7011.T,2014-05-30,Shin Oita Thermal Power Station,GasTurbine,,Japan,Mitsubishi Hitachi Power Systems Ltd.,,,480,,,480,https://www.mhps.com/news/20140530.html,All?,
